Serial | Migration Date       | Table / Action
------------------------------------------------------------
1      | 2014-10-12 00:00:00 | users_table
2      | 2014-10-12 10:00:00 | password_resets_table
3      | 2018-02-17 06:04:12 | categories_table
4      | 2018-02-20 03:57:27 | brands_table
5      | 2018-02-25 10:06:35 | suppliers_table
6      | 2018-02-27 10:16:19 | warehouse_table
7      | 2018-03-03 04:04:48 | units_table
8      | 2018-03-04 04:13:17 | taxes_table
9      | 2018-03-10 06:19:15 | customer_groups_table
10     | 2018-03-10 09:05:34 | customers_table
11     | 2018-03-11 09:55:47 | billers_table
12     | 2018-04-05 05:44:01 | products_table
13     | 2018-04-06 13:36:06 | purchases_table
14     | 2018-04-06 15:46:00 | product_purchases_table
15     | 2018-04-06 15:49:15 | product_warehouse_table
16     | 2018-04-10 08:59:27 | sales_table
17     | 2018-04-10 09:01:33 | product_sales_table
18     | 2018-04-10 09:02:54 | payments_table
19     | 2018-04-10 09:03:41 | payment_with_cheque_table
20     | 2018-04-10 09:05:09 | payment_with_credit_card_table
21     | 2018-04-13 12:14:36 | quotation_table
22     | 2018-04-13 12:23:24 | product_quotation_table
23     | 2018-04-14 12:18:02 | transfers_table
24     | 2018-04-14 12:19:13 | product_transfer_table
25     | 2018-05-13 08:28:47 | 2018_05_13_082847_add_payment_id_and_change_sale_id_to_payments_table
26     | 2018-05-13 09:09:06 | 2018_05_13_090906_change_customer_id_to_payment_with_credit_card_table
27     | 2018-05-20 05:45:32 | adjustments_table
28     | 2018-05-20 05:48:59 | product_adjustments_table
29     | 2018-05-21 16:34:19 | returns_table
30     | 2018-05-21 16:54:43 | product_returns_table
31     | 2018-06-02 05:09:05 | roles_table
32     | 2018-06-02 07:34:30 | 2018_06_02_073430_add_columns_to_users_table
33     | 2018-06-03 06:27:38 | permission_tables
34     | 2018-06-03 06:53:40 | pos_setting_table
35     | 2018-06-21 09:41:55 | 2018_06_21_094155_add_user_id_to_sales_table
36     | 2018-06-21 10:15:29 | 2018_06_21_101529_add_user_id_to_purchases_table
37     | 2018-06-21 10:35:12 | 2018_06_21_103512_add_user_id_to_transfers_table
38     | 2018-06-23 08:24:27 | 2018_06_23_082427_add_is_deleted_to_users_table
39     | 2018-06-25 04:33:08 | 2018_06_25_043308_change_email_to_users_table
40     | 2018-07-06 11:54:49 | general_settings_table
